stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
108,서울,2002-01-01,-4.8,-7.5,2344,1.3,0001,,,,,,,11.5,340,1322,6.1,290,1327,3.7,3197,290,-13.1,35,1519,55.9,2.4,1010.6,1024.2,2152,1015.5,0000,1021.6,9.6,6.5,1200,1.8,9.84,,,1.8,0000,,1.1,0.6,-4.9,-10.4,-1.6,-1.0,-0.3,0.6,2.6,6.9,10.4,15.2,17.0,,1.2,,-{박무}-{박무}{강도0}0300-0417.,
108,서울,2002-01-02,-9.9,-11.4,0832,-7.3,0000,,,,,,,14.1,270,1249,6.1,290,1241,3.5,3024,290,-21.0,32,1433,45.0,1.2,1013.2,1026.2,2211,1022.7,1249,1024.4,9.6,6.0,1200,1.67,9.67,,,1.3,0000,,0.0,0.0,-9.6,-13.4,-5.3,-3.6,-1.4,0.4,2.1,6.2,10.0,15.0,16.8,,1.2,,,
108,서울,2002-01-03,-6.5,-12.0,0554,-2.0,1526,,,,,,,5.6,270,1128,3.2,270,1214,1.6,1382,50,-15.2,34,1445,54.0,2.0,1012.2,1026.6,1018,1018.6,2347,1023.3,9.7,5.5,1200,1.56,8.41,,,1.2,0000,,2.6,1.1,-7.4,-15.3,-5.6,-4.4,-2.1,-0.3,2.2,6.2,10.0,16.0,16.5,,1.2,0.0,,
108,서울,2002-01-04,1.5,-3.4,0033,5.7,1428,,,,,3.45,0.0,8.2,200,1353,4.8,200,1353,1.9,1642,50,-3.2,57,2354,71.8,5.0,1002.9,1018.9,0015,1010.1,1509,1013.5,9.7,0.0,1300,0.43,2.04,,,0.7,0000,,7.5,4.0,-0.8,-4.8,-1.8,-1.6,-1.2,-0.2,2.6,6.4,10.0,15.0,16.8,,0.8,0.0,{박무}0317-{박무}{강도0}0600-{박무}{강도0}0900-{박무}{강도0}1200-{박무}{강도0}1500- {강도0}1800-{박무}{강도0}2100-2340.  {눈}0343-0548.  {눈}0956-1035.  {비}1257-1340.,
108,서울,2002-01-05,-0.7,-3.0,2338,1.9,1541,,,,,,,8.3,290,0655,4.9,290,1052,2.5,2160,290,-10.2,34,1338,47.3,2.8,1010.0,1024.6,2259,1014.0,0000,1020.8,9.7,6.5,1200,1.52,8.97,,,,,,0.0,0.0,-1.3,-5.3,-1.6,-1.0,-0.7,0.0,2.6,6.5,10.0,15.0,16.9,,1.5,,,
108,서울,2002-01-06,0.0,-5.4,0709,5.2,1558,,,,,,,4.6,70,1042,2.5,90,1101,1.6,1382,70,-9.3,29,1551,48.5,3.0,1011.7,1025.6,0727,1017.0,2359,1022.5,9.7,5.1,1200,1.44,8.28,,,,,,2.1,0.8,-1.0,-10.3,-2.9,-1.9,-1.1,0.0,2.2,5.9,9.6,14.8,16.8,,1.1,1.5,,
108,서울,2002-01-07,-2.5,-6.9,2400,3.7,0411,,,,,5.08,1.5,16.1,290,1431,7.9,270,0915,4.5,3888,270,-9.4,37,0145,61.9,3.2,1005.8,1021.3,2308,1010.8,0350,1016.6,9.7,2.9,1100,1.5,6.5,0.3,0450,0.3,0450,0.3,7.4,6.0,-2.8,-8.5,-1.2,-0.6,-0.5,0.1,2.6,5.9,9.6,14.8,16.6,,1.8,0.0,{비}0254-{비}{강도0}0300-{진눈깨비}0336-{눈}0412-{진눈깨비}0543-{진눈깨비}{강도0}0600-0635.  {눈}1045-1055.  {눈}1553-1605.  {눈}1650-1752.,
108,서울,2002-01-08,-6.6,-8.0,0752,-3.9,1426,,,,,,,14.6,270,0726,7.6,270,0728,4.4,3802,270,-15.7,41,1208,52.5,1.8,1012.6,1026.7,2220,1021.1,0008,1023.6,9.7,5.3,1200,1.54,8.58,,,,,,1.1,1.0,-6.5,-10.5,-5.2,-3.4,-1.4,0.0,1.8,5.6,9.6,14.6,16.6,,1.4,,,
108,서울,2002-01-09,-3.5,-8.3,0555,1.0,1624,,,,,,,5.9,200,1421,3.4,250,1429,1.5,1296,270,-12.3,30,1415,54.3,2.4,1013.5,1027.7,1017,1020.4,2358,1024.5,9.7,5.6,1200,1.59,8.56,,,,,,1.3,1.0,-5.3,-9.6,-5.1,-3.9,-2.3,-0.4,1.8,5.6,9.5,14.5,16.5,,1.3,,,
108,서울,2002-01-10,2.2,-1.1,0013,5.7,2123,,,,,,,7.3,250,2236,3.8,270,2306,1.8,1555,50,-3.1,53,0048,67.5,5.0,1002.8,1020.4,0000,1009.5,1720,1013.4,9.8,0.0,1200,0.24,1.19,,,,,,9.3,6.6,0.5,-2.6,-1.2,-1.1,-0.9,-0.2,2.2,5.8,9.5,14.5,16.8,,1.0,,{박무}2015-{박무}{강도0}2100-{박무}{강도0}2400-,
108,서울,2002-01-11,3.7,0.8,0826,8.1,1525,,,,,,,7.5,270,0214,4.5,270,0234,1.7,1469,270,-1.3,43,1528,71.0,5.6,1006.4,1019.4,2307,1011.5,0028,1017.0,9.8,2.9,1200,1.48,7.12,,,,,,3.3,1.8,1.3,-3.0,0.1,0.0,-0.3,0.1,2.2,6.0,9.5,14.5,16.8,,1.3,,-{박무}-{박무}{강도1}0300-{박무}{강도2}0600-{시정(미만)}{1km}{낮은안개}0610-{시정(이상)}{1km}{박무}0825-{박무}{강도2}0900-{박무}{강도1}1200-{박무}{강도0}1500-1620.  {박무}2010-{박무}{강도0}2100-{박무}{강도0}2400-,2.25
108,서울,2002-01-12,4.9,0.5,0628,9.6,1521,,,,,,,3.6,50,0251,2.3,50,0254,1.3,1123,50,-1.5,46,1402,64.1,5.5,1009.1,1021.4,1021,1018.3,1447,1019.6,9.8,0.0,1200,1.03,5.18,,,,,,2.8,2.0,2.1,-4.0,-0.1,0.1,-0.2,0.2,2.1,5.3,9.0,14.3,16.5,,1.0,,-{박무}-{박무}{강도0}0300-{박무}{강도0}0600-{박무}{강도0}0900-{박무}{강도0}1200-1320.  {황사}1250-{황사}{강도0}1500-{황사}{강도0}1800-{황사}{강도0}2100-{황사}{강도0}2400-,
108,서울,2002-01-13,7.4,4.0,0538,11.1,1349,,,,,,,6.5,70,2020,3.4,70,2046,2.1,1814,70,0.9,45,1314,64.1,6.5,1010.8,1022.6,2346,1019.8,0242,1021.3,9.8,0.1,1300,1.02,4.72,,,,,,6.4,3.5,4.9,-1.1,0.4,0.1,-0.1,0.3,2.1,5.6,9.0,14.2,16.5,,1.0,1.0,-{황사}-0120.  {박무}0040-{박무}{강도0}0300-{박무}{강도1}0600-{박무}{강도2}0900-{박무}{강도1}1200-{박무}{강도1}1500-1620.,
108,서울,2002-01-14,10.5,6.2,0159,13.4,1525,,,,,2.47,1.0,6.7,90,0346,3.8,50,0142,1.8,1555,70,5.9,63,0000,73.5,9.4,1009.4,1022.5,0000,1017.3,2323,1019.7,9.8,0.0,1200,0.77,3.89,,,,,,9.0,5.4,8.2,1.3,3.8,2.0,0.1,0.4,2.5,5.8,9.0,14.4,16.5,,1.0,13.0,{비}0056-0217. {비}0315-0335.  {비}0451-0503.  {박무}0816-{박무}{강도0}0900-{박무}{강도0}1200-{박무}{강도0}1500-{박무}{강도0}1800-{박무}{강도0}2100-{박무}{강도0}2400-  {비}1755-{비}{강도0}1800-1830.,
108,서울,2002-01-15,12.2,11.0,0041,13.5,1643,,,,,13.87,13.5,7.6,340,0039,4.5,320,0048,1.0,864,70,11.3,73,0000,94.1,13.4,1003.7,1018.6,0052,1009.9,2357,1013.9,9.9,0.0,1400,0.35,1.1,,,,,,10.0,7.8,10.4,6.5,6.9,5.0,2.3,1.8,2.6,5.5,8.7,14.0,16.5,,0.4,8.5,{비}0025-{비}{강도0}0300-{비}{강도0}0600-0720.  {비}1007-1020.  {안개비}1716-{안개비}{강도1}1800-{비}1942-{비}{강도0}2100-{비}{강도0}2400-  {번개}{강도0}(W)0310-0321.  {뇌전}{강도0}(NW 6-7)0412-0420.  -{박무}-{박무}{강도1}0300-{박무}{강도2}0600-{박무}{강도2}0900-{시정(미만)}{1km}{안개}0945-{안개}{강도0}1200-{시정(미만)}{0.5km}{안개}1320-{안개}{강도1}1500-{시정(이상)}{0.5km}{안개}1706-{낮은안개}1750-{낮은안개}{강도0}1800-{시정(이상)}{1km}{박무}1934-{박무}{강도2}2100-{박무}{강도2}2400-,9.82
108,서울,2002-01-16,7.0,3.3,2348,12.3,0000,,,,,11.45,8.5,7.4,70,1507,3.7,70,1519,2.0,1728,70,4.0,66,1239,81.6,8.3,1001.4,1015.8,2348,1008.3,0141,1011.7,9.9,0.0,1000,0.28,1.51,,,,,,9.8,5.9,6.0,2.9,6.1,5.9,5.0,4.3,2.9,5.5,8.8,14.0,16.4,,0.5,1.5,-{박무}-{박무}{강도2}0300-{박무}{강도0}0600-0628.  -{비}-{비}{강도0}0300-{비}{강도0}0600-0617.  {비}1450-{비}{강도0}1500-1525.  {비}1925-{비}{강도0}2100-{비}{강도0}2400-,
108,서울,2002-01-17,3.1,2.0,2307,4.7,1651,,,,,11.53,1.5,5.3,270,1544,3.4,270,1526,1.7,1469,70,1.1,74,1650,86.6,6.6,1007.2,1019.7,2355,1015.3,0032,1017.8,9.9,0.0,1600,0.5,1.58,,,,,,7.6,4.1,1.6,-1.5,3.2,3.8,4.0,4.2,3.6,5.7,8.6,14.0,16.4,,0.9,0.5,-{비}-{비}{강도0}0300-0310.  {비}0542-{비}{강도0}0600-0648. {비}0807-{비}{강도0}0900-{비}{강도0}1200-{안개비}1337-{안개비}{강도0}1500-1523.,
108,서울,2002-01-18,2.2,-0.7,0729,6.2,1423,,,,,,,4.4,50,2345,2.4,50,0905,1.4,1210,50,-1.2,56,1536,79.3,5.6,1011.3,1023.2,2327,1019.7,0000,1022.0,9.9,3.4,1300,1.4,6.79,,,,,,3.1,2.5,0.5,-4.2,1.9,2.3,2.9,3.4,3.2,5.4,8.5,13.8,16.0,,0.8,,{박무}0510-{박무}{강도0}0600-{시정(미만)}{1km}{안개}0730-{안개}{강도0}0900-{시정(이상)}{1km}{박무}0935-1125.,2.08
108,서울,2002-01-19,5.1,1.9,0155,10.0,1350,,,,,,,5.3,70,0814,2.9,70,0208,1.9,1642,70,0.2,49,1402,70.9,6.2,1012.7,1024.3,0910,1021.7,1430,1023.3,9.9,2.8,1300,1.47,6.93,,,,,,5.1,5.1,2.9,-2.4,2.6,2.8,3.0,3.2,3.3,5.6,8.5,13.7,16.0,,1.3,0.0,{박무}1915-{박무}{강도0}2100-{박무}{강도0}2400-,
108,서울,2002-01-20,2.4,0.6,2124,5.2,1034,,,,,12.65,6.5,5.2,250,0235,3.5,270,0239,1.6,1382,270,0.6,71,1035,88.3,6.4,1009.7,1023.7,0234,1018.2,2338,1020.4,10.0,0.0,1100,0.18,1.0,0.9,1920,0.9,1920,0.9,9.5,7.3,1.6,-1.0,2.4,2.8,3.3,3.7,3.6,5.5,8.5,13.7,16.1,,0.4,6.5,-{박무}-{박무}{강도1}0300-{박무}{강도1}0600-{박무}{강도0}0900-{박무}{강도1}1200-{박무}{강도2}1500-{박무}{강도2}1800-{박무}{강도1}2100-{박무}{강도1}2400-   {비}0652-0723.  {비}1012-{비}{강도0}1200-{진눈깨비}1243-{눈}1311-{진눈깨비}1336-{비}1425-{비}{강도0}1500-{진눈깨비}1624-{눈}1718-{눈}{강도0}1800-{눈}{강도0}2100-2220.,
108,서울,2002-01-21,-0.1,-3.0,2257,1.9,1352,,,,,5.7,4.0,9.5,320,1753,5.1,290,1759,2.5,2160,270,-3.4,64,1723,79.3,4.9,1004.7,1018.2,0000,1012.4,1345,1015.4,10.0,0.1,1300,0.59,2.01,4.8,1048,5.2,1048,5.1,7.6,5.0,-1.6,-6.5,0.4,1.5,2.4,3.1,3.6,5.9,8.5,13.7,16.1,,0.5,4.0,-{박무}-{박무}{강도1}0300-{박무}{강도0}0600-{박무}{강도2}0900-{박무}{강도1}1200-{박무}{강도0}1500-1705.  {눈}0732-{눈}{강도1}0900-1125.  {소낙눈}1215-1238.  {소낙눈}1321-1345.  {눈}1613-1715.,
108,서울,2002-01-22,-4.6,-6.0,2157,-2.2,1531,,,,,2.22,0.0,13.0,270,1928,7.1,270,1505,4.2,3629,270,-12.0,44,1323,59.6,2.4,1007.9,1021.3,2313,1016.5,0140,1018.9,10.0,3.6,1100,1.45,6.37,,,2.5,0000,,2.4,2.4,-5.1,-8.4,0.1,0.8,1.7,2.6,3.5,5.7,8.9,13.1,16.0,,1.3,0.0,{눈}0855-{눈}{강도0}0900-0958.  {눈}1805-1915.,
108,서울,2002-01-23,-4.2,-6.7,0643,-0.6,1622,,,,,,,10.1,270,0551,6.0,270,2003,3.7,3197,270,-13.1,35,1529,52.9,2.2,1013.3,1026.8,2318,1021.2,0000,1024.3,10.1,6.2,1200,1.77,10.24,,,1.9,0000,,0.1,0.1,-4.4,-9.4,-0.2,0.5,1.3,2.1,3.0,5.8,8.5,13.3,16.0,,1.4,,,
108,서울,2002-01-24,-2.8,-6.0,0513,1.0,1504,,,,,,,6.7,270,1025,3.9,290,1036,2.1,1814,270,-13.1,28,1521,46.9,2.2,1017.7,1030.5,2332,1026.8,0000,1028.7,10.1,6.6,1200,1.81,10.61,,,1.4,0000,,0.0,0.0,-3.0,-11.0,-1.0,0.1,0.9,1.9,2.7,5.2,8.4,13.3,15.8,,1.2,,,
108,서울,2002-01-25,-1.9,-7.2,0723,3.3,1627,,,,,,,4.4,50,1008,2.5,290,0034,1.2,1037,50,-12.0,23,1607,48.0,2.5,1018.6,1032.5,0842,1027.4,2311,1029.5,10.1,6.0,1200,1.76,10.18,,,,,,0.1,0.0,-2.6,-11.8,-1.4,-0.2,0.7,1.6,2.6,5.7,8.5,12.5,15.8,,1.5,,,
108,서울,2002-01-26,1.5,-1.6,0339,3.8,1228,,,,,9.92,0.5,4.2,70,1254,2.5,50,1419,1.0,864,70,-3.5,50,1154,70.9,4.9,1011.6,1027.5,0008,1019.4,2356,1022.3,10.1,0.0,1100,0.47,2.77,,,,,,9.5,4.8,-1.1,-6.4,-0.4,-0.2,0.5,1.3,1.5,5.4,8.2,13.2,15.8,,0.5,0.5,{박무}1325-{박무}{강도1}1500-{박무}{강도0}1800-{박무}{강도0}2100-{박무}{강도0}2400- {가루눈}1350-{눈}1356-{진눈깨비}1426-{진눈깨비}{강도0}1500-{비}1720-{비}{강도0}1800-{비}{강도0}2100-2345.,
108,서울,2002-01-27,-0.2,-3.1,2338,2.2,0026,,,,,,,9.6,290,2214,4.6,270,1246,2.9,2506,270,-6.0,53,1532,64.3,4.0,1010.1,1023.0,2351,1018.9,0130,1020.8,10.2,0.5,1400,0.92,5.88,,,,,,5.0,3.1,-1.4,-6.7,-0.2,0.1,0.7,1.5,2.3,5.4,8.2,13.0,15.8,,1.0,,-{박무}-0050.  {박무}0945-{박무}{강도0}1200-{박무}{강도0}1500-{박무}{강도0}1800-{박무}{강도0}2100-2150.,
108,서울,2002-01-28,-3.0,-4.9,2348,0.1,1420,,,,,,,12.4,270,2056,6.3,270,2059,3.5,3024,270,-12.1,32,1251,52.8,2.5,1012.6,1025.1,2255,1021.9,1415,1023.5,10.2,5.6,1200,1.86,10.4,,,,,,0.6,0.6,-2.6,-8.6,-1.7,-0.4,0.6,1.4,2.6,5.5,8.5,13.1,15.8,,1.4,,,
108,서울,2002-01-29,-1.7,-6.2,0557,2.9,1508,,,,,2.08,0.4,9.3,270,2232,5.0,230,1643,2.6,2246,270,-9.9,26,1235,55.9,3.1,1012.7,1026.1,0913,1021.2,2323,1023.5,10.2,6.5,1200,1.89,11.29,0.8,2255,0.8,2255,0.8,2.9,2.5,-0.8,-11.0,-1.9,-1.0,0.4,1.2,2.0,4.9,8.0,13.0,15.5,,1.5,0.4,{눈}1722-{눈}{강도0}1800-1832.  {눈}2222-2317.,
